        1038    5    7.7829    1.3467E+00    4.2034E-01    1.3207E+00    1.1338E-01    3.9856E-02    3.5064E-01    2.5732E+00    1.1057E+00    5.9767E+00    2.4877E+00    1.2707E+00    1.5102E+01
        1039    5    7.7487    1.8994E+00    5.9692E-01    2.1021E+00    2.1126E-01    7.4681E-02    7.0523E-01    3.0892E+00    1.2400E+00    6.7216E+00    2.3470E+00    1.3643E+00    1.4918E+01
        1040    5    7.7442    1.9035E+00    6.2635E-01    2.1697E+00    2.1561E-01    8.8549E-02    7.5008E-01    3.0960E+00    1.3117E+00    6.7121E+00    2.2186E+00    1.5282E+00    1.4496E+01
        1041    5    7.7662    1.5706E+00    5.6089E-01    1.6451E+00    1.3657E-01    6.9752E-02    4.7215E-01    2.8809E+00    1.3702E+00    6.2360E+00    2.2106E+00    1.7748E+00    1.4219E+01
        1099    5    7.6914    2.2628E+00    6.9324E-01    2.8294E+00    3.4817E-01    1.2422E-01    1.3695E+00    3.1775E+00    1.1622E+00    6.9246E+00    1.9349E+00    1.1046E+00    1.3319E+01
        1100    5    7.6647    2.1361E+00    6.6048E-01    2.9244E+00    3.5366E-01    1.4042E-01    1.4699E+00    2.9102E+00    1.0742E+00    6.6170E+00    1.5735E+00    9.7805E-01    1.1841E+01
        1101    5    7.6652    1.9746E+00    6.8949E-01    2.8338E+00    3.4216E-01    1.6070E-01    1.4289E+00    2.7293E+00    1.1504E+00    6.4227E+00    1.5350E+00    1.1988E+00    1.1521E+01
        1102    5    7.6915    1.9246E+00    7.7305E-01    2.6184E+00    3.2275E-01    1.7291E-01    1.2622E+00    2.7715E+00    1.3710E+00    6.4520E+00    1.8265E+00    1.6737E+00    1.2260E+01
        1103    5    7.7424    1.7475E+00    7.7039E-01    2.0198E+00    2.1195E-01    1.2069E-01    6.9489E-01    2.7825E+00    1.6575E+00    6.3479E+00    2.2789E+00    2.1081E+00    1.2970E+01
        1160    5    7.6167    1.9308E+00    5.6386E-01    2.9230E+00    3.3235E-01    1.4599E-01    1.4871E+00    2.4185E+00    7.7368E-01    5.6780E+00    1.0659E+00    6.4493E-01    8.8535E+00
        1161    5    7.5962    1.6594E+00    4.9996E-01    2.7787E+00    3.1680E-01    1.6779E-01    1.4661E+00    2.0330E+00    6.7091E-01    4.9654E+00    8.0941E-01    4.9961E-01    7.0320E+00
        1162    5    7.6015    1.5089E+00    5.5364E-01    2.6449E+00    3.1592E-01    1.8290E-01    1.4156E+00    1.8687E+00    7.7029E-01    4.8165E+00    9.0260E-01    7.1416E-01    7.2086E+00
        1163    5    7.6330    1.6167E+00    7.2569E-01    2.6116E+00    3.3469E-01    2.1034E-01    1.3568E+00    2.0766E+00    1.1108E+00    5.3029E+00    1.2913E+00    1.2855E+00    9.0347E+00
        1164    5    7.6892    1.7946E+00    9.1307E-01    2.4659E+00    3.4593E-01    2.1279E-01    1.1639E+00    2.4664E+00    1.6098E+00    6.1288E+00    2.0530E+00    1.9560E+00    1.1149E+01
