        3536    5    7.5031    9.8951E-01    2.1563E-01    1.6797E+00    1.9392E-01    1.0798E-01    9.8868E-01    1.1067E+00    2.2826E-01    2.3831E+00    3.2087E-01    3.0164E-02    4.2154E+00
        3537    5    7.4933    8.7177E-01    2.0159E-01    1.4950E+00    1.8127E-01    9.3049E-02    9.3611E-01    9.7040E-01    2.1313E-01    2.1398E+00    3.0040E-01    2.4187E-02    3.6473E+00
        3538    5    7.4935    7.9955E-01    2.2294E-01    1.4106E+00    1.8728E-01    9.7187E-02    9.2215E-01    8.9346E-01    2.3933E-01    1.9987E+00    3.2474E-01    3.1991E-02    3.6041E+00
        3539    5    7.5041    8.2303E-01    2.9575E-01    1.4596E+00    2.0922E-01    1.1882E-01    9.5016E-01    9.1261E-01    3.2617E-01    1.9865E+00    4.0037E-01    5.6729E-02    4.1102E+00
        3540    5    7.5251    9.9474E-01    4.1339E-01    1.7003E+00    2.5060E-01    1.5069E-01    9.9810E-01    1.0833E+00    4.9629E-01    2.3046E+00    5.3418E-01    1.3337E-01    4.9034E+00
        3541    5    7.5558    1.2666E+00    5.6780E-01    1.9903E+00    2.8739E-01    1.8227E-01    1.0086E+00    1.4373E+00    7.7133E-01    3.2020E+00    7.9245E-01    3.9536E-01    5.9418E+00
        3542    5    7.5938    1.4619E+00    7.2417E-01    2.1126E+00    2.3536E-01    1.2269E-01    5.8264E-01    1.7756E+00    1.1118E+00    4.4273E+00    1.3124E+00    9.7535E-01    7.5693E+00
        3543    5    7.6358    1.1242E+00    5.4234E-01    1.1539E+00    4.2072E-02    1.7901E-02    8.5326E-02    1.7187E+00    1.3247E+00    5.3797E+00    1.9397E+00    1.5614E+00    8.9530E+00
        3637    5    7.4755    8.0072E-01    1.5866E-01    1.2747E+00    1.4899E-01    5.7337E-02    8.5816E-01    8.6934E-01    1.5979E-01    1.7622E+00    2.5162E-01    1.0686E-02    2.6828E+00
        3638    5    7.4675    7.0935E-01    1.5358E-01    1.1585E+00    1.4259E-01    4.6210E-02    8.0126E-01    7.7049E-01    1.5645E-01    1.5830E+00    2.3648E-01    7.6657E-03    2.0439E+00
        3639    5    7.4701    6.7431E-01    1.8275E-01    1.0947E+00    1.5003E-01    6.4161E-02    8.0523E-01    7.2941E-01    1.9227E-01    1.4798E+00    2.6836E-01    1.4727E-02    2.2307E+00
        3640    5    7.4835    7.4709E-01    2.5915E-01    1.1451E+00    1.8787E-01    8.8014E-02    8.4754E-01    8.1410E-01    2.8585E-01    1.5240E+00    3.6901E-01    3.3519E-02    2.9559E+00
