# Zero vibration energy:      0.0032230521  (Ry/cell)
# Phonon DOS norm      :      5.895682      ! 3N for check purpose, N number of atoms in the unit cell
# T in K, F_vib in Ry/cell, C_v in R (the universal gas constant by 3N modes), S in k_B 
#
#   T         E_internal        F_vibration          Specific heat (C_v)       Entropy
############################################################################################################
  395.00      0.0150347418     -0.0143082657           5.7828140475         11.7293924751
  400.00      0.0152179080     -0.0146808505           5.7855697888         11.8021506356
  405.00      0.0154011599     -0.0150557255           5.7882263905         11.8740385588
  410.00      0.0155844944     -0.0154328634           5.7907885247         11.9450764136
  415.00      0.0157679086     -0.0158122376           5.7932605935         12.0152836900
  420.00      0.0159513997     -0.0161938222           5.7956467466         12.0846792294
  425.00      0.0161349650     -0.0165775917           5.7979508989         12.1532812517
  430.00      0.0163186021     -0.0169635212           5.8001767461         12.2211073820
  435.00      0.0165023085     -0.0173515865           5.8023277788         12.2881746756
  440.00      0.0166860818     -0.0177417639           5.8044072965         12.3544996419
  445.00      0.0168699200     -0.0181340299           5.8064184195         12.4200982668
  450.00      0.0170538207     -0.0185283620           5.8083641006         12.4849860344
  455.00      0.0172377821     -0.0189247377           5.8102471358         12.5491779471
  460.00      0.0174218021     -0.0193231354           5.8120701739         12.6126885453
  465.00      0.0176058790     -0.0197235337           5.8138357259         12.6755319254
  470.00      0.0177900108     -0.0201259116           5.8155461733         12.7377217581
  475.00      0.0179741960     -0.0205302487           5.8172037762         12.7992713041
  480.00      0.0181584329     -0.0209365249           5.8188106802         12.8601934311
  485.00      0.0183427199     -0.0213447205           5.8203689238         12.9205006281
  490.00      0.0185270555     -0.0217548162           5.8218804444         12.9802050202
  495.00      0.0187114383     -0.0221667933           5.8233470844         13.0393183827
  500.00      0.0188958667     -0.0225806330           5.8247705964         13.0978521535
